beats_spy_cagr;cagr;calmar;config_hash;constraint_gap_score;dd_limit;decision;excess_cagr;frontier_class;max_drawdown;months_beating_spy;months_losing_to_spy;passes_dd20;rank_under_constraint;rejection_reason;run_id;spy_cagr;strategy_id;trades;years_beating_spy;years_losing_to_spy
True;32,457198;1,022374;02dc343081085946;118,310263;-20,0;rejected;21,203298;high_cagr_dd_breach;-31,746893;48;27;False;;"insufficient_trades:476<3000; max_drawdown_breaches_dd20:-31.746893<-20.000000";AUTO_007;11,2539;HYP_AUTO_LOW_VOL_BAB_SEED;476;5;2
True;32,270842;0,552253;7593410a508c6009;384,696283;-20,0;rejected;25,468367;high_cagr_dd_breach;-58,434895;211;118;False;;"insufficient_trades:1958<3000; max_drawdown_breaches_dd20:-58.434895<-20.000000";RETEST_HYP_QUALITY_MOMENTUM_CONCENTRATION_9_V1_1999_2026_20260524_172353;6,802475;HYP_QUALITY_MOMENTUM_CONCENTRATION_9_V1;1958;25;3
True;32,254969;0,534642;7593410a508c6009;403,78377;-20,0;rejected;25,452494;high_cagr_dd_breach;-60,330077;208;121;False;;"insufficient_trades:1551<3000; max_drawdown_breaches_dd20:-60.330077<-20.000000";RETEST_HYP_AUTO_CAN_SLIM_SEED_1999_2026_20260524_175313;6,802475;HYP_AUTO_CAN_SLIM_SEED;1551;22;6
True;31,290787;1,125912;179da0c5325f8e3f;78,787637;-20,0;rejected;20,036887;high_cagr_dd_breach;-27,791497;42;33;False;;"insufficient_trades:382<3000; max_drawdown_breaches_dd20:-27.791497<-20.000000";EXP_173;11,2539;HYP_LITEXP_AUTO_002_RESIDUAL26_BREADTH45_DD26_V1;382;6;1
True;31,041842;0,452525;3b33dfec8ac263c1;486,08417;-20,0;rejected;24,239367;high_cagr_dd_breach;-68,596917;209;120;False;;"insufficient_trades:2655<3000; max_drawdown_breaches_dd20:-68.596917<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_TOPN_14_V1_1999_2026_20260525_010944;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_TOPN_14_V1;2655;24;4
True;30,671086;0,461597;b09b8fd286af1dd6;464,934027;-20,0;rejected;23,868611;high_cagr_dd_breach;-66,445636;203;126;False;;"insufficient_trades:1567<3000; max_drawdown_breaches_dd20:-66.445636<-20.000000";RETEST_HYP_REVIEW_EXP_044_TRAILING_22_V1_1999_2026_20260524_185700;6,802475;HYP_REVIEW_EXP_044_TRAILING_22_V1;1567;22;6
True;30,671086;0,461597;b09b8fd286af1dd6;464,934027;-20,0;rejected;23,868611;high_cagr_dd_breach;-66,445636;203;126;False;;"insufficient_trades:1567<3000; max_drawdown_breaches_dd20:-66.445636<-20.000000";RETEST_HYP_REVIEW_EXP_052_EXIT_16_V1_1999_2026_20260524_194340;6,802475;HYP_REVIEW_EXP_052_EXIT_16_V1;1567;22;6
True;30,671086;0,461597;b09b8fd286af1dd6;464,934027;-20,0;rejected;23,868611;high_cagr_dd_breach;-66,445636;203;126;False;;"insufficient_trades:1567<3000; max_drawdown_breaches_dd20:-66.445636<-20.000000";RETEST_HYP_REVIEW_EXP_052_EXIT_18_V1_1999_2026_20260524_194730;6,802475;HYP_REVIEW_EXP_052_EXIT_18_V1;1567;22;6
True;30,209994;0,43738;5bf907e68421d2f8;490,762683;-20,0;rejected;23,407519;high_cagr_dd_breach;-69,070335;210;119;False;;"insufficient_trades:2822<3000; max_drawdown_breaches_dd20:-69.070335<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_CONF_SMA50_SLOPE_POS_V1_1999_2026_20260524_224539;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_CONF_SMA50_SLOPE_POS_V1;2822;24;4
True;30,209994;0,43738;3b33dfec8ac263c1;490,762683;-20,0;rejected;23,407519;high_cagr_dd_breach;-69,070335;210;119;False;;"insufficient_trades:2822<3000; max_drawdown_breaches_dd20:-69.070335<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_14_V1_1999_2026_20260525_002649;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_EXIT_14_V1;2822;24;4
